; Readable locations in D:\Miei Programmi\RemakeOv2\Fiere_Di_Elettronica.ov2
;
; Longitude,    Latitude, "Name"
; ========== ============ ==================================================

   8.94347 ,   44.39596 , "Marc-3°dic.(genova)ge>+3901053911"
  10.82076 ,   44.94742 , "Fiera Di Gonzaga-4°set.(gonzaga)mn>+39037658098"
  10.50240 ,   43.29466 , "Fiera Di Cecina(cecina)li>+390586785026"
  10.50003 ,   43.85084 , "Electra(lucca)lu>+393483307007"
   9.28111 ,   45.46861 , "Radiant & Silicon(segrate)mi>+390270200022"
  10.85833 ,   44.65167 , "Expo Elettronica(modena)mo>+39059848899"
  12.56861 ,   44.05056 , "Expo Elettronica(rimini)rm>+390541711500"
   9.24333 ,   45.80694 , "Expo Elettronica(erba)co>+390316371"
  12.07750 ,   44.24306 , "Grande Fiera Dell'elettronica(forli)fo>+390543793511"
  12.21500 ,   44.17861 , "Expo Elettronica(pievesestina Di Cesena)fc>+390547317435"
   9.75446 ,   45.04046 , "Teleradio-2°set.-2°dic.(piacenza)pc>+390523602711"

; 11 record written, 0 deleted bytes ignored, 0 bytes not processed
