; Readable locations in D:\Miei Programmi\RemakeOv2\Modellismo.ov2
;
; Longitude,    Latitude, "Name"
; ========== ============ ==================================================

   9.10778 ,   39.21750 , "Mary S.a.s. Di Asaro Francesco & C. St(Cagliari)CA->+39070663329"
   9.13167 ,   39.53778 , "Cassinelli Angelo Emporio Bricolage(Senorbi')CA->+390709808688"
   8.49241 ,   40.63505 , "Chessa Demetrio Studio Tecnico(Uri)SS->+39079419764"
   8.40083 ,   40.83611 , "Cinquerrui Luciano Ferramenta Colo(Porto Torres)SS->+39079510253"
   9.10179 ,   40.90619 , "Deiana Giacomino Autoricambi Au(Tempio Pausania)SS->+39079631358"
   9.50000 ,   40.90917 , "Pileri Francesco Bambole Gas(Olbia)SS->+39078969153"
   9.40472 ,   41.21194 , "Busia Maria Giocattoli E(La Maddalena)SS->+390789736236"
  11.11350 ,   42.76416 , "Delio(Grosseto)GR->+39056424981"
  10.52750 ,   42.92333 , "Galleria D'arte =rosa Dei Venti= Corni(Piombino)LI->+39056533025"
  10.51852 ,   43.30919 , "La Chicca Di Luca Del Viva & C Snc Cart(Cecina)LI->+390586686429"
  11.15083 ,   43.47417 , "Pit Stop Lapini Giocattoli Cartoler(Poggibonsi)SI->+390577982479"
  10.34611 ,   43.52694 , "Grillo Salvatore Giocattoli E(Livorno)LI->+390586852618"
  10.31528 ,   43.55167 , "Voglia Di Vincere Di Bonistalli Soliri(Livorno)LI->+390586891550"
  10.62957 ,   43.62139 , "Arzilli Alberto & C.nuova Snc Stampi(Ponsacco)PI->+390587730859"
  10.61639 ,   43.62694 , "Ecoart Lavori Su Misura(Ponsacco)PI->+390587733580"
  10.55833 ,   43.67250 , "Di M. E. Gnesi(Cascina)PI->+39050701878"
  10.51472 ,   43.68250 , "Tecnicmodel(San Frediano A Settimo)PI->+39050741747"
  10.50000 ,   43.68472 , "Trecentotredici Di Ulivi Roberto C(San Casciano)PI->+39050778228"
  10.75009 ,   43.70072 , "Orazzini Vittorio Per Ca(Castelfranco Di Sotto)PI->+390571489701"
  10.40194 ,   43.71778 , "Hobbycentro Giocattoli(Pisa)PI->+39050580888"
  10.95187 ,   43.72180 , "Hobby Center(Empoli)FI->+39057174747"
  11.18884 ,   43.75286 , "Crazy Model(Scandicci)FI->+390552591712"
  11.25056 ,   43.77472 , "Club Del Regalo(Firenze)FI->+390552382872"
  11.20710 ,   43.77793 , "Leonardo Di Giorgetti Leonardo(Firenze)FI->+390557332711"
  11.23927 ,   43.78512 , "Delle Piane & C. S.a.s.(Firenze)FI->+39055332599"
   7.60722 ,   43.79167 , "Marily Di Semeria Monica Giocattol(Ventimiglia)IM->+390184352512"
  11.24333 ,   43.79417 , "Rocchi Luciano Hobby(Firenze)FI->+390554220533"
  11.22861 ,   43.81361 , "Firenze Motori(Firenze)FI->+39055450406"
   7.76492 ,   43.81645 , "Mail Model Distribuzione(Sanremo)IM->+390184591462"
  10.84100 ,   43.81694 , "Orlandi Rino Consulenza Stilistic(Castelmartini)PT->+39057384544"
  10.60667 ,   43.82083 , "Eurokit s.r.l. Ingrosso(Porcari)LU->+390583299953"
