; Readable locations in D:\Miei Programmi\RemakeOv2\RO_radar.ov2
;
; Longitude,    Latitude, "Name"
; ========== ============ ==================================================

   0.00000 ,    0.00000 , "Country: 8, Type: 138, Angle: -1"
  26.63806 ,   44.08661 , "Country: 8, Type: 138, Angle: -1"
  26.63806 ,   44.08661 , "Country: 8, Type: 138, Angle: -1"
  25.90406 ,   44.32048 , "Country: 8, Type: 138, Angle: -1"
  25.90406 ,   44.32048 , "Country: 8, Type: 138, Angle: -1"
  26.23232 ,   44.40685 , "Country: 8, Type: 138, Angle: -1"
  26.23232 ,   44.40685 , "Country: 8, Type: 138, Angle: -1"
  26.23232 ,   44.40685 , "Country: 8, Type: 138, Angle: -1"
  26.33733 ,   44.40804 , "Country: 8, Type: 138, Angle: -1"
  26.33733 ,   44.40804 , "Country: 8, Type: 138, Angle: -1"
  27.37624 ,   44.40905 , "Country: 8, Type: 138, Angle: -1"
  27.37624 ,   44.40905 , "Country: 8, Type: 138, Angle: -1"
  26.86414 ,   44.42584 , "Country: 8, Type: 138, Angle: -1"
  26.86414 ,   44.42584 , "Country: 8, Type: 138, Angle: -1"
  26.86414 ,   44.42584 , "Country: 8, Type: 138, Angle: -1"
  26.86765 ,   44.42619 , "Country: 8, Type: 138, Angle: -1"
  26.86765 ,   44.42619 , "Country: 8, Type: 138, Angle: -1"
  26.86765 ,   44.42619 , "Country: 8, Type: 138, Angle: -1"
  26.10094 ,   44.43836 , "Country: 8, Type: 138, Angle: -1"
  26.10094 ,   44.43836 , "Country: 8, Type: 138, Angle: -1"
  26.09950 ,   44.44118 , "Country: 8, Type: 138, Angle: -1"
  26.09950 ,   44.44118 , "Country: 8, Type: 138, Angle: -1"
  26.09793 ,   44.44448 , "Country: 8, Type: 138, Angle: -1"
  26.09793 ,   44.44448 , "Country: 8, Type: 138, Angle: -1"
  25.98265 ,   44.50772 , "Country: 8, Type: 138, Angle: -1"
  25.98265 ,   44.50772 , "Country: 8, Type: 138, Angle: -1"
  25.98407 ,   44.50681 , "Country: 8, Type: 138, Angle: -1"
  25.98407 ,   44.50681 , "Country: 8, Type: 138, Angle: -1"
  25.98480 ,   44.50633 , "Country: 8, Type: 138, Angle: -1"
  25.98480 ,   44.50633 , "Country: 8, Type: 138, Angle: -1"
  25.98784 ,   44.50435 , "Country: 8, Type: 138, Angle: -1"
  25.98784 ,   44.50435 , "Country: 8, Type: 138, Angle: -1"
  25.98925 ,   44.50345 , "Country: 8, Type: 138, Angle: -1"
  25.98925 ,   44.50345 , "Country: 8, Type: 138, Angle: -1"
  25.99361 ,   44.50060 , "Country: 8, Type: 138, Angle: -1"
  25.99361 ,   44.50060 , "Country: 8, Type: 138, Angle: -1"
  25.99461 ,   44.49997 , "Country: 8, Type: 138, Angle: -1"
  25.99461 ,   44.49997 , "Country: 8, Type: 138, Angle: -1"
  26.07889 ,   44.49472 , "Country: 8, Type: 138, Angle: -1"
  26.07889 ,   44.51667 , "Country: 8, Type: 138, Angle: -1"
  26.07909 ,   44.49460 , "Country: 8, Type: 138, Angle: -1"
  26.07913 ,   44.51702 , "Country: 8, Type: 138, Angle: -1"
