                                    Nome                                                               Indirizzo                            Codic...                             Città
 CONSORZIO IVECO-FIAT -OTO MELARA                                                V. TACITO, 90                                              00193        ROMA
 CONSORZIO IVECO FIAT - OTO MELARA                                               V. TACITO, 90                                              00193        ROMA
 FIAT IVECO DI PALMIGIANO MARCO MARCO                                            V. PALMA, 107                                              80040        STRIANO
 IVECO                                                                           ZONA INDUSTRIALE, 0                                        09025        SANLURI
 IVECO BUS S.P.A.                                                                V. EMILIA OVEST, 911                                       41100        MODENA
 IVECO FIAT (S.P.A.)                                                             LOC. INCORONATA, 1                                         71100        FOGGIA
 IVECO FIAT S.P.A.                                                               V. EMILIA PARMENSE, 198                                    29100        PIACENZA
 IVECO FIAT (S.P.A.)                                                             STR.ST. 98, 0                                              70026        MODUGNO
 IVECO FIAT S.P.A.                                                               V. EMILIA PARMENSE, 198                                    29100        PIACENZA
 IVECO FIAT (S.P.A.)                                                             STR.ST. 98, 0                                              70026        MODUGNO
 IVECO FIAT S.P.A.                                                               V. EMILIA PARMENSE, 198                                    29100        PIACENZA
  IVECO FIAT (S.P.A.)                                                             STR.ST. 98, 0                                              70026        MODUGNO
 IVECO FIAT S.P.A.                                                               V. DI PRISCILLA, 101                                       00199        ROMA
 IVECO FIAT S.P.A.                                                               VL. STELVIO ZONTA, 56                                      46029        SUZZARA
 IVECO FIAT S.P.A.                                                               VL. STELVIO ZONTA, 56                                      46029        SUZZARA
 IVECO MEZZI SPECIALI SPA                                                        V. S. POLO, 31                                             25124        BRESCIA
 IVECO OFFICINA AUTORIZZATA VEICOLI INDUSTRIALI CAMPANELLI E GRIL...             V. MARCONI, 0                                              60015        FALCONARA MARITTIMA
 IVECO S.P.A.                                                                    V. VOLTURNO, 62                                            25126        BRESCIA
 IVECO S.P.A.                                                                    V. VOLTA%VOLTASTR., 6                                      39100        BOLZANO
 IVECO S.P.A.                                                                    V. EMILIA PARMENSE, 198                                    29100        PIACENZA
 IVECO (S.P.A.)                                                                  STR.ST. 98, 0                                              70026        MODUGNO
 IVECO S.P.A.                                                                    V. PAOLO FRISI, 21                                         00197        ROMA
 IVECO (S.P.A.)                                                                  V. PAOLO FRISI, 21                                         00197        ROMA
 IVECO (S.P.A.)                                                                  V. PAOLO FRISI, 21                                         00197        ROMA
 IVECO S.P.A.                                                                    LUNGO STURA LAZIO, 15                                      10156        TORINO
 I.VE.CO (S.R.L.)                                                                V. DEI GELSI, 3                                            31040        CESSALTO
 I.VE.CO. S.R.L.                                                                 V. DEI GELSI, 3                                            31040        CESSALTO
 I.VE.CO (S.R.L.)                                                                V. DEI GELSI, 3                                            31040        CESSALTO
 OFFICINA ANDREANI IVECO MAURIZIO                                                V. TERRACINI, 6                                            62012        CIVITANOVA MARCHE
 SANTILLI ANGELO   C. OFF. AUTORIZZ. IVECO                                       CONTR. S. VITO, 1                                          86170        ISERNIA
